car,car,car,car,car,car,car,car,car,car,class
-0.48,0.71,-0.48,0.03,-0.99,0.99,-0.99,0.71,-0.48,-0.14,One-pair
-0.99,0.71,-0.48,0.88,-0.65,0.99,-0.48,0.2,-0.82,0.2,One-pair
-0.65,0.03,-0.65,0.2,-0.65,0.88,-0.82,0.2,-0.48,0.99,One-pair
-0.99,0.99,-0.82,0.54,-0.82,0.37,-0.48,0.88,-0.65,0.37,One-pair
-0.48,0.99,-0.82,0.54,-0.99,0.37,-0.82,0.37,-0.65,0.2,One-pair
-0.48,0.2,-0.65,0.2,-0.82,-0.14,-0.65,0.03,-0.82,0.54,One-pair
-0.82,0.71,-0.82,0.37,-0.48,-0.14,-0.48,0.71,-0.65,0.54,One-pair
-0.82,0.2,-0.99,0.99,-0.48,0.37,-0.65,0.37,-0.82,0.03,One-pair
-0.65,-0.14,-0.82,0.71,-0.65,0.99,-0.65,0.54,-0.99,-0.14,One-pair
-0.48,0.88,-0.65,0.2,-0.48,0.71,-0.65,0.37,-0.82,0.88,One-pair
-0.48,0.2,-0.48,0.99,-0.99,0.88,-0.99,0.2,-0.99,0.71,One-pair
-0.82,-0.14,-0.48,0.88,-0.65,0.99,-0.48,0.03,-0.82,0.88,One-pair
-0.48,0.03,-0.82,0.71,-0.99,0.71,-0.65,0.99,-0.82,-0.14,One-pair
-0.65,0.37,-0.65,0.71,-0.82,0.88,-0.99,0.71,-0.99,0.03,One-pair
-0.82,-0.14,-0.65,0.03,-0.65,-0.14,-0.65,0.99,-0.99,0.37,One-pair
-0.65,0.03,-0.99,-0.14,-0.82,0.88,-0.82,0.03,-0.65,0.37,One-pair
-0.48,0.88,-0.48,0.37,-0.82,0.37,-0.99,0.03,-0.65,0.71,One-pair
-0.99,0.99,-0.48,0.99,-0.82,0.2,-0.99,0.71,-0.99,0.54,One-pair
-0.65,0.37,-0.82,0.54,-0.65,0.54,-0.48,0.03,-0.82,0.88,One-pair
-0.65,0.2,-0.65,0.37,-0.99,0.03,-0.82,0.2,-0.65,-0.14,One-pair
-0.65,0.37,-0.48,0.03,-0.82,0.88,-0.48,0.71,-0.99,0.71,One-pair
-0.65,0.54,-0.82,0.37,-0.99,0.88,-0.99,0.37,-0.82,-0.14,One-pair
-0.82,0.03,-0.99,0.99,-0.65,0.71,-0.65,0.88,-0.65,0.99,One-pair
-0.99,0.88,-0.99,0.37,-0.82,0.2,-0.48,0.99,-0.48,0.88,One-pair
-0.82,0.37,-0.99,0.99,-0.48,0.71,-0.48,-0.14,-0.82,-0.14,One-pair
-0.99,0.2,-0.65,0.2,-0.48,0.88,-0.99,-0.14,-0.99,0.99,One-pair
-0.65,-0.14,-0.82,0.54,-0.82,0.88,-0.82,0.03,-0.99,-0.14,One-pair
-0.65,0.71,-0.99,0.03,-0.65,0.88,-0.48,0.37,-0.82,0.88,One-pair
-0.48,0.03,-0.99,0.88,-0.65,0.88,-0.82,0.2,-0.65,0.37,One-pair
-0.82,0.88,-0.99,0.99,-0.65,0.88,-0.48,0.2,-0.99,0.03,One-pair
-0.48,0.88,-0.82,0.03,-0.48,0.54,-0.99,0.03,-0.65,0.99,One-pair
-0.65,0.2,-0.99,0.2,-0.82,0.37,-0.82,0.99,-0.65,0.88,One-pair
-0.99,0.88,-0.82,-0.14,-0.48,0.71,-0.82,0.71,-0.65,0.37,One-pair
-0.82,-0.14,-0.99,-0.14,-0.99,0.54,-0.99,0.88,-0.65,0.2,One-pair
-0.65,0.54,-0.65,0.03,-0.99,0.2,-0.99,0.54,-0.99,-0.14,One-pair
