car,car,car,car,car,car,car,car,car,car,class
1,9,1,12,1,10,1,11,1,13,Straight-flush
1,13,4,8,2,7,2,10,3,13,One-pair
3,13,2,7,4,11,3,11,2,11,Three-of-akind
2,11,3,9,1,11,4,8,3,8,Two-pairs
3,12,2,12,2,8,3,11,1,6,One-pair
3,7,1,8,1,7,4,12,2,8,Two-pairs
3,10,1,7,4,7,4,6,1,11,One-pair
2,7,1,6,3,6,4,13,4,9,One-pair
3,6,2,13,4,13,3,10,2,12,One-pair
2,10,3,9,4,13,1,12,2,7,Nothing-in-hand
3,12,3,10,4,6,2,6,2,13,One-pair
1,13,1,8,4,6,1,11,2,7,Nothing-in-hand
1,8,4,7,4,13,2,6,3,6,One-pair
2,10,3,10,2,13,2,6,1,6,Two-pairs
1,10,3,9,3,10,1,8,4,13,One-pair
3,10,1,12,1,7,3,13,2,12,One-pair
2,11,2,6,4,8,4,7,2,12,Nothing-in-hand
3,8,1,13,1,7,4,7,3,13,Two-pairs
3,9,1,13,4,8,4,9,1,6,One-pair
1,11,1,10,4,10,3,13,1,13,Two-pairs
4,6,2,9,4,7,1,8,3,8,One-pair
3,6,2,13,3,9,1,13,1,10,One-pair
2,7,2,13,3,10,1,9,1,10,One-pair
2,8,1,6,2,6,2,7,3,13,One-pair
4,6,1,7,4,9,2,10,4,11,Nothing-in-hand
1,13,3,12,2,12,1,9,4,12,Three-of-akind
1,11,1,13,4,9,1,7,3,13,One-pair
4,12,2,11,4,11,1,9,3,11,Three-of-akind
3,9,1,12,3,7,4,12,2,9,Two-pairs
2,13,4,12,4,13,1,7,4,8,One-pair
1,12,4,12,4,8,4,11,2,12,Three-of-akind
2,12,1,7,2,9,4,8,3,7,One-pair
3,6,3,8,2,12,4,8,3,11,One-pair
2,12,3,11,2,9,4,8,2,7,Nothing-in-hand
1,11,3,12,3,10,4,9,2,13,Straight
4,9,2,8,2,6,3,6,4,11,One-pair
1,6,3,6,4,12,3,8,4,8,Two-pairs
4,13,1,9,3,7,3,11,1,7,One-pair
1,9,1,8,3,10,4,10,2,10,Three-of-akind
1,13,2,10,2,6,3,13,4,6,Two-pairs
1,11,1,9,4,11,2,13,3,10,One-pair
2,7,4,11,4,12,2,12,2,11,Two-pairs
1,8,3,9,2,6,4,11,2,9,One-pair
3,12,2,7,4,6,3,11,1,9,Nothing-in-hand
3,8,1,8,3,6,2,6,1,13,Two-pairs
2,9,3,13,1,10,2,7,1,13,One-pair
3,6,2,6,4,10,1,7,3,13,One-pair
2,9,3,13,4,6,2,13,1,8,One-pair
2,6,3,13,2,7,4,8,3,8,One-pair
2,8,2,10,1,6,3,10,3,13,One-pair
2,12,3,7,1,12,4,8,4,9,One-pair
4,13,1,8,3,8,2,9,3,13,Two-pairs
